Type;FSWP-8;
380.1893310547;-147.9666442871;
384.5918273926;-147.9676208496;
389.0450744629;-147.9686584473;
393.5501098633;-147.9686584473;
398.1070861816;-147.9686584473;
402.7170410156;-147.9686584473;
407.3801879883;-147.9686584473;
412.0975341797;-147.9700775146;
416.8692626953;-147.9729156494;
421.6965026855;-147.9795379639;
426.5796203613;-147.9947509766;
431.5190734863;-148.0077514648;
436.5159301758;-148.0170135498;
441.5704345703;-148.0334625244;
446.6836853027;-148.0334625244;
451.8559265137;-148.0336303711;
457.0882873535;-148.0796966553;
462.3809814453;-148.1140594482;
467.7352294922;-148.1358642578;
473.1512145996;-148.1516418457;
478.6301574707;-148.1667785645;
484.1723022461;-148.1818084717;
489.7788696289;-148.1980590820;
495.4501037598;-148.2183074951;
501.1872863770;-148.2320404053;
506.9906311035;-148.2320404053;
512.8614501953;-148.2495422363;
518.7999267578;-148.2501220703;
524.8074951172;-148.2514648438;
530.8843383789;-148.2802124023;
537.0317993164;-148.2877655029;
543.2501831055;-148.2879791260;
549.5408935547;-148.3108520508;
555.9041137695;-148.3180084229;
562.3413085938;-148.3265533447;
568.8530883789;-148.3292999268;
575.4399414062;-148.3665771484;
582.1033325195;-148.3939819336;
588.8436279297;-148.4103851318;
595.6622924805;-148.4239807129;
602.5595703125;-148.4462738037;
609.5369873047;-148.4887542725;
616.5949707031;-148.5421295166;
623.7349243164;-148.5447387695;
630.9572753906;-148.5453643799;
638.2636108398;-148.5558776855;
645.6541137695;-148.5591278076;
653.1306152344;-148.5591278076;
660.6933593750;-148.5591278076;
668.3439941406;-148.5591278076;
676.0828857422;-148.5591278076;
683.9116821289;-148.5558776855;
691.8308105469;-148.5470581055;
699.8420410156;-148.5453643799;
707.9456176758;-148.5447387695;
716.1434326172;-148.5217742920;
724.4357910156;-148.5217742920;
732.8245239258;-148.5217742920;
741.3100585938;-148.5217742920;
749.8942260742;-148.5217742920;
758.5777587891;-148.5217742920;
767.3614501953;-148.5217742920;
776.2473144531;-148.5217742920;
785.2355957031;-148.5058135986;
794.3284301758;-148.5058135986;
803.5260620117;-148.5058135986;
812.8306884766;-148.5408172607;
822.2425537109;-148.5409545898;
831.7639160156;-148.5933990479;
841.3950195312;-148.5944519043;
851.1381835938;-148.6086730957;
860.9936523438;-148.6275024414;
870.9636840820;-148.6086730957;
881.0487670898;-148.5944519043;
891.2510375977;-148.5562133789;
901.5709838867;-148.5562133789;
912.0109252930;-148.5562133789;
922.5712280273;-148.5655822754;
933.2543334961;-148.6086730957;
944.0606689453;-148.6209564209;
954.9926147461;-148.6479339600;
966.0506591797;-148.6510467529;
977.2372436523;-148.6533660889;
988.5528564453;-148.6778259277;
1000.0000000000;-148.6778259277;
1011.5797119141;-148.6778259277;
1023.2929687500;-148.7250976562;
1035.1424560547;-148.7549591064;
1047.1285400391;-148.7567443848;
1059.2539062500;-148.7633056641;
1071.5192871094;-148.7644195557;
1083.9271240234;-148.7660522461;
1096.4781494141;-148.7758941650;
1109.1750488281;-148.7758941650;
1122.0183105469;-148.7758941650;
1135.0109863281;-148.7758941650;
1148.1534423828;-148.7660522461;
1161.4487304688;-148.7644195557;
1174.8973388672;-148.7567443848;
1188.5023193359;-148.7549591064;
1202.2642822266;-148.7404632568;
1216.1861572266;-148.7404632568;
1230.2685546875;-148.7404632568;
1244.5146484375;-148.7404632568;
1258.9251708984;-148.7404632568;
1273.5031738281;-148.7404632568;
1288.2492675781;-148.7404632568;
1303.1667480469;-148.7404632568;
1318.2563476562;-148.7593231201;
1333.5214843750;-148.7632446289;
1348.9632568359;-148.7643280029;
1364.5831298828;-148.7653198242;
1380.3846435547;-148.7716522217;
1396.3682861328;-148.7734985352;
1412.5378417969;-148.7785797119;
1428.8939208984;-148.7969360352;
1445.4400634766;-148.8174896240;
1462.1770019531;-148.8383941650;
1479.1086425781;-148.8593292236;
1496.2354736328;-148.8750305176;
1513.5615234375;-148.8784790039;
1531.0872802734;-148.8803253174;
1548.8167724609;-148.8822937012;
1566.7508544922;-148.8822937012;
1584.8933105469;-148.8822937012;
1603.2451171875;-148.8822937012;
1621.8101806641;-148.8822937012;
1640.5894775391;-148.8822937012;
1659.5870361328;-148.8803253174;
1678.8035888672;-148.8750305176;
1698.2437744141;-148.8663940430;
1717.9079589844;-148.8306427002;
1737.8009033203;-148.7936401367;
1757.9230957031;-148.7826232910;
1778.2794189453;-148.7821960449;
1798.8713378906;-148.7821960449;
1819.7008056641;-148.7821960449;
1840.7724609375;-148.7769775391;
1862.0870361328;-148.7726593018;
1883.6495361328;-148.7541046143;
1905.4605712891;-148.7409820557;
1927.5252685547;-148.7291717529;
1949.8444824219;-148.7241516113;
1972.4230957031;-148.7241516113;
1995.2620849609;-148.7241516113;
2018.3666992188;-148.7407989502;
2041.7376708984;-148.7409820557;
2065.3803710938;-148.7409820557;
2089.2958984375;-148.7409820557;
2113.4892578125;-148.7409820557;
2137.9616699219;-148.7409820557;
2162.7187500000;-148.7409820557;
2187.7612304688;-148.7409820557;
2213.0949707031;-148.7880096436;
2238.7207031250;-148.8045654297;
2264.6442871094;-148.8185882568;
2290.8671875000;-148.8481292725;
2317.3947753906;-148.8555450439;
2344.2282714844;-148.8587341309;
2371.3737792969;-148.8587341309;
2398.8334960938;-148.8587341309;
2426.6101074219;-148.8602294922;
2454.7094726562;-148.8662872314;
2483.1330566406;-148.8674163818;
2511.8869628906;-148.8800659180;
2540.9726562500;-148.9131011963;
2570.3962402344;-148.9131011963;
2600.1594238281;-148.9131011963;
2630.2685546875;-148.9131011963;
2660.7248535156;-148.8812408447;
2691.5351562500;-148.8674163818;
2722.7009277344;-148.8587341309;
2754.2290039062;-148.8386688232;
2786.1208496094;-148.8386688232;
2818.3833007812;-148.8674163818;
2851.0178222656;-148.8812408447;
2884.0317382812;-148.8812408447;
2917.4265136719;-148.8733215332;
2951.2094726562;-148.8439941406;
2985.3820800781;-148.8386688232;
3019.9519042969;-148.8154602051;
3054.9204101562;-148.8109588623;
3090.2954101562;-148.8109588623;
3126.0786132812;-148.8109588623;
3162.2775878906;-148.7886505127;
3198.8959960938;-148.7817687988;
3235.9365234375;-148.7886505127;
3273.4077148438;-148.8073883057;
3311.3110351562;-148.8073883057;
3349.6550292969;-148.8073883057;
3388.4414062500;-148.8073883057;
3427.6784667969;-148.8073883057;
3467.3681640625;-148.8073883057;
3507.5192871094;-148.8073883057;
3548.1335449219;-148.8404388428;
3589.2199707031;-148.8730621338;
3630.7800292969;-148.8913879395;
3672.8234863281;-148.9048461914;
3715.3518066406;-148.9099121094;
3758.3745117188;-148.9221343994;
3801.8933105469;-148.9400787354;
3845.9182128906;-148.9775543213;
3890.4506835938;-148.9874725342;
3935.5009765625;-148.9946441650;
3981.0708007812;-148.9978179932;
4027.1704101562;-149.0126953125;
4073.8017578125;-149.0126953125;
4120.9750976562;-149.0126953125;
4168.6928710938;-149.0126953125;
4216.9648437500;-149.0126953125;
4265.7963867188;-149.0054168701;
4315.1904296875;-148.9978179932;
4365.1591796875;-148.9978179932;
4415.7041015625;-148.9978179932;
4466.8369140625;-148.9978179932;
4518.5590820312;-148.9978179932;
4570.8828125000;-149.0054168701;
4623.8095703125;-149.0120391846;
4677.3520507812;-149.0126953125;
4731.5122070312;-149.0171356201;
4786.3017578125;-149.0713348389;
4841.7231445312;-149.0859680176;
4897.7890625000;-149.0908966064;
4954.5009765625;-149.0949707031;
5011.8730468750;-149.0949707031;
5069.9062500000;-149.0949707031;
5128.6142578125;-149.0949707031;
5187.9995117188;-149.0949707031;
5248.0747070312;-149.0949707031;
5308.8432617188;-149.0908966064;
5370.3183593750;-149.0859680176;
5432.5019531250;-149.0497436523;
5495.4086914062;-149.0042419434;
5559.0410156250;-148.9641876221;
5623.4130859375;-148.9382171631;
5688.5307617188;-148.9237365723;
5754.3994140625;-148.9237365723;
5821.0336914062;-148.9237365723;
5888.4365234375;-148.9237365723;
5956.6225585938;-148.9237365723;
6025.5957031250;-148.9237365723;
6095.3701171875;-148.9237365723;
6165.9497070312;-148.9237365723;
6237.3496093750;-148.9558105469;
6309.5727539062;-148.9697265625;
6382.6357421875;-148.9697265625;
6456.5415039062;-148.9697265625;
6531.3061523438;-148.9697265625;
6606.9335937500;-148.9697265625;
6683.4399414062;-148.9697265625;
6760.8286132812;-148.9697265625;
6839.1171875000;-148.9625549316;
6918.3081054688;-148.9558105469;
6998.4204101562;-148.9300689697;
7079.4560546875;-148.9204406738;
7161.4345703125;-148.9204406738;
7244.3579101562;-148.9204406738;
7328.2456054688;-148.9204406738;
7413.1005859375;-148.9204406738;
7498.9418945312;-148.9204406738;
7585.7778320312;-148.9204406738;
7673.6147460938;-148.9300689697;
7762.4731445312;-148.9574584961;
7852.3559570312;-149.0102386475;
7943.2841796875;-149.0161590576;
8035.2607421875;-149.0175323486;
8128.3066406250;-149.0325012207;
8222.4257812500;-149.0432739258;
8317.6396484375;-149.0534973145;
8413.9501953125;-149.0883636475;
8511.3818359375;-149.1195678711;
8609.9365234375;-149.1200561523;
8709.6367187500;-149.1200561523;
8810.4873046875;-149.1200561523;
8912.5107421875;-149.1200561523;
9015.7099609375;-149.1200561523;
9120.1093750000;-149.1200561523;
9225.7128906250;-149.1200561523;
9332.5439453125;-149.1200561523;
9440.6064453125;-149.0266723633;
9549.9267578125;-149.0266723633;
9660.5068359375;-149.0266723633;
9772.3720703125;-149.0266723633;
9885.5283203125;-149.0266723633;
10000.0000000000;-149.0266723633;
10115.7968750000;-149.0266723633;
10232.9355468750;-149.0266723633;
10351.4189453125;-149.0725708008;
10471.2851562500;-149.1198120117;
10592.5400390625;-149.1663513184;
10715.1982421875;-149.1917877197;
10839.2656250000;-149.1917877197;
10964.7812500000;-149.1917877197;
11091.7500000000;-149.1917877197;
11220.1894531250;-149.1917877197;
11350.1035156250;-149.1917877197;
11481.5351562500;-149.1917877197;
11614.4873046875;-149.1917877197;
11748.9804687500;-149.1726226807;
11885.0166015625;-149.1557464600;
12022.6425781250;-149.1408081055;
12161.8613281250;-149.1408081055;
12302.6923828125;-149.1408081055;
12445.1396484375;-149.1408081055;
12589.2509765625;-149.1408081055;
12735.0312500000;-149.1408081055;
12882.4990234375;-149.1408081055;
13031.6611328125;-149.1408081055;
13182.5634765625;-149.1541442871;
13335.2138671875;-149.2011108398;
13489.6328125000;-149.2137451172;
13645.8388671875;-149.2146148682;
13803.8388671875;-149.2301788330;
13963.6826171875;-149.2315826416;
14125.3789062500;-149.2315826416;
14288.9462890625;-149.2315826416;
14454.3925781250;-149.2315826416;
14621.7705078125;-149.2315826416;
14791.0869140625;-149.2301788330;
14962.3632812500;-149.2146148682;
15135.6064453125;-149.2137451172;
15310.8730468750;-149.1565246582;
15488.1679687500;-149.0874328613;
15667.5166015625;-149.0874328613;
15848.9248046875;-149.0874328613;
16032.4511718750;-149.0874328613;
16218.1025390625;-149.0874328613;
16405.9042968750;-149.0874328613;
16595.8613281250;-149.0874328613;
16788.0371093750;-149.0874328613;
16982.4375000000;-149.1054382324;
17179.0898437500;-149.1079864502;
17378.0000000000;-149.1220703125;
17579.2324218750;-149.1277313232;
17782.7949218750;-149.1277313232;
17988.7148437500;-149.1277313232;
18197.0175781250;-149.1277313232;
18407.7148437500;-149.1277313232;
18620.8710937500;-149.1220703125;
18836.4941406250;-149.1079864502;
19054.6171875000;-149.1054382324;
19275.2421875000;-149.0662231445;
19498.4433593750;-149.0662231445;
19724.2304687500;-149.0662231445;
19952.6328125000;-149.0662231445;
20183.6562500000;-149.0662231445;
20417.3769531250;-149.0637664795;
20653.8046875000;-149.0481872559;
20892.9687500000;-149.0145874023;
21134.8808593750;-149.0145874023;
21379.6171875000;-149.0377349854;
21627.1875000000;-149.0481872559;
21877.6230468750;-149.0637664795;
22130.9355468750;-149.0771331787;
22387.2070312500;-149.0869598389;
22646.4433593750;-149.0906219482;
22908.6835937500;-149.0906219482;
23173.9335937500;-149.0869598389;
23442.2812500000;-149.0869598389;
23713.7363281250;-149.1595611572;
23988.3359375000;-149.1704406738;
24266.1132812500;-149.2296447754;
24547.0820312500;-149.2641143799;
24831.3300781250;-149.2641143799;
25118.8691406250;-149.2641143799;
25409.7402343750;-149.2641143799;
25703.9492187500;-149.2296447754;
26001.5937500000;-149.1771697998;
26302.6835937500;-149.1704406738;
26607.2617187500;-149.0841522217;
26915.3378906250;-149.0663452148;
27227.0097656250;-149.0630187988;
27542.2910156250;-149.0689392090;
27861.2226562500;-149.0565338135;
28183.8164062500;-149.0173339844;
28510.1777343750;-148.9912567139;
28840.3183593750;-148.9889373779;
29174.2812500000;-148.9882354736;
29512.0781250000;-148.9778137207;
29853.8203125000;-148.9693145752;
30199.5175781250;-148.9660644531;
30549.2207031250;-148.9660644531;
30902.9375000000;-148.9693145752;
31260.7851562500;-148.9778137207;
31622.7773437500;-148.9889373779;
31988.9589843750;-148.9889373779;
32359.3828125000;-148.9889373779;
32734.0585937500;-148.9889373779;
33113.1093750000;-148.9889373779;
33496.5507812500;-148.9967498779;
33884.4335937500;-149.0353546143;
34276.7656250000;-149.0667572021;
34673.6835937500;-149.0667572021;
35075.1953125000;-149.0667572021;
35481.3554687500;-149.0667572021;
35892.1796875000;-149.0667572021;
36307.8007812500;-149.0667572021;
36728.2343750000;-149.0667572021;
37153.5390625000;-149.0667572021;
37583.7226562500;-149.0446624756;
38018.9335937500;-149.0446624756;
38459.1796875000;-149.0446624756;
38904.5273437500;-149.0446624756;
39354.9882812500;-149.0446624756;
39810.7070312500;-149.0446624756;
40271.7070312500;-149.0446624756;
40738.0390625000;-149.0446624756;
41209.7304687500;-149.1132354736;
41686.9257812500;-149.3043212891;
42169.6484375000;-149.5782928467;
42657.9648437500;-149.6456604004;
43151.9296875000;-149.6456604004;
43651.5703125000;-149.6456604004;
44157.0429687500;-149.6456604004;
44668.3671875000;-149.6456604004;
45185.6171875000;-149.6456604004;
45708.8046875000;-149.6456604004;
46238.0976562500;-149.6456604004;
46773.5234375000;-149.3945770264;
47315.1484375000;-149.3453521729;
47862.9921875000;-149.3419647217;
48417.2304687500;-149.3305053711;
48977.8867187500;-149.3228302002;
49545.0390625000;-149.3096313477;
50118.7031250000;-149.3068847656;
50699.0625000000;-149.2943878174;
51286.1445312500;-149.2912292480;
51880.0234375000;-149.2640686035;
52480.7187500000;-149.2400970459;
53088.4335937500;-149.2379455566;
53703.1835937500;-149.2359619141;
54325.0507812500;-149.2300720215;
54954.0585937500;-149.2294769287;
55590.4101562500;-149.2294769287;
56234.1328125000;-149.2294769287;
56885.3085937500;-149.2294769287;
57544.0234375000;-149.2294769287;
58210.3046875000;-149.2300720215;
58884.3632812500;-149.2329864502;
59566.2265625000;-149.2302856445;
60255.9882812500;-149.2302856445;
60953.6679687500;-149.2329864502;
61659.4960937500;-149.2352905273;
62373.4960937500;-149.2352905273;
63095.7617187500;-149.2352905273;
63826.3242187500;-149.2352905273;
64565.4140625000;-149.2352905273;
65313.0625000000;-149.2352905273;
66069.3671875000;-149.2329864502;
66834.3593750000;-149.2302856445;
67608.2890625000;-149.2302856445;
68391.1718750000;-149.2302856445;
69183.1250000000;-149.2302856445;
69984.1640625000;-149.2302856445;
70794.5625000000;-149.2075042725;
71614.3437500000;-149.1970367432;
72443.6171875000;-149.1885528564;
73282.4140625000;-149.1417083740;
74131.0078125000;-149.1393585205;
74989.4218750000;-149.1417083740;
75857.7812500000;-149.1885528564;
76736.1875000000;-149.1970367432;
77624.6875000000;-149.2379760742;
78523.5625000000;-149.2379760742;
79432.8437500000;-149.2379760742;
80352.6484375000;-149.2469940186;
81283.0234375000;-149.2469940186;
82224.2578125000;-149.2469940186;
83176.3906250000;-149.2469940186;
84139.5546875000;-149.2546386719;
85113.7734375000;-149.2700805664;
86099.3671875000;-149.2788696289;
87096.3671875000;-149.2788696289;
88104.9218750000;-149.2788696289;
89125.0546875000;-149.2788696289;
90157.1015625000;-149.2700805664;
91201.0937500000;-149.2700805664;
92257.1718750000;-149.2778778076;
93325.3828125000;-149.2788696289;
94406.0703125000;-149.2828674316;
95499.2656250000;-149.2848052979;
96605.1171875000;-149.2881774902;
97723.6718750000;-149.2882385254;
98855.2812500000;-149.2925872803;
100000.0000000000;-149.2952728271;
101157.9687500000;-149.2952728271;
102329.3515625000;-149.2952728271;
103514.1875000000;-149.2993469238;
104712.8515625000;-149.2993469238;
105925.3984375000;-149.2993469238;
107151.9843750000;-149.2993469238;
108392.6562500000;-149.2993469238;
109647.8125000000;-149.2993469238;
110917.5000000000;-149.2993469238;
112201.8984375000;-149.2993469238;
113501.0390625000;-149.2814331055;
114815.3437500000;-149.2382965088;
116144.8750000000;-149.2005615234;
117489.8046875000;-149.1959533691;
118850.1718750000;-149.1928863525;
120226.4218750000;-149.1879730225;
121618.6093750000;-149.1753997803;
123026.9218750000;-149.1689758301;
124451.3984375000;-149.1689758301;
125892.5156250000;-149.1689758301;
127350.3125000000;-149.1689758301;
128824.9921875000;-149.1753997803;
130316.6093750000;-149.1879730225;
131825.6406250000;-149.1908721924;
133352.1406250000;-149.1959533691;
134896.3281250000;-149.2005615234;
136458.3906250000;-149.2295379639;
138038.3906250000;-149.2614135742;
139636.8281250000;-149.2817077637;
141253.7812500000;-149.2941894531;
142889.4687500000;-149.2941894531;
144543.9218750000;-149.2941894531;
146217.7031250000;-149.2941894531;
147910.8593750000;-149.2941894531;
149623.6250000000;-149.2941894531;
151356.0625000000;-149.2941894531;
153108.7187500000;-149.2941894531;
154881.6875000000;-149.2546691895;
156675.1718750000;-149.2546691895;
158489.2500000000;-149.2546691895;
160324.5156250000;-149.2546691895;
162181.0312500000;-149.2546691895;
164059.0312500000;-149.2546691895;
165958.6093750000;-149.2546691895;
167880.3593750000;-149.2546691895;
169824.3750000000;-149.2731781006;
171790.8906250000;-149.3206329346;
173779.9843750000;-149.3757629395;
175792.3125000000;-149.3832397461;
177827.9375000000;-149.3832397461;
179887.1406250000;-149.3832397461;
181970.1875000000;-149.3832397461;
184077.1406250000;-149.3832397461;
186208.7031250000;-149.3832397461;
188364.9531250000;-149.3832397461;
190546.1562500000;-149.3832397461;
192752.4218750000;-149.3181915283;
194984.4375000000;-149.2862548828;
197242.3125000000;-149.2862548828;
199526.3125000000;-149.2862548828;
201836.5625000000;-149.2862548828;
204173.7656250000;-149.2862548828;
206538.0468750000;-149.2862548828;
208929.7031250000;-149.2862548828;
211348.8125000000;-149.2862548828;
213796.1718750000;-149.3279113770;
216271.8750000000;-149.3562774658;
218776.2343750000;-149.3562774658;
221309.3593750000;-149.3562774658;
223872.0625000000;-149.3562774658;
226464.4375000000;-149.3562774658;
229086.8281250000;-149.3562774658;
231739.3437500000;-149.3764343262;
234422.8125000000;-149.3805999756;
237137.3750000000;-149.3863677979;
239883.3593750000;-149.3863677979;
242661.1406250000;-149.3863677979;
245470.8125000000;-149.3863677979;
248313.2968750000;-149.3863677979;
251188.7031250000;-149.3831939697;
254097.3906250000;-149.3831939697;
257039.4843750000;-149.3831939697;
260015.9375000000;-149.3831939697;
263026.8437500000;-149.3831939697;
266072.6250000000;-149.3831939697;
269153.3750000000;-149.3831939697;
